participant_id,date,start_time,end_time,model,Q1_understanding,Q2_usefulness,Q3_naturalness,Q4_speed,Q5_trust_data,Q6_confirmations,Q7_clarifications,Q8_context_memory,Q9_few_errors,Q10_future_use,Q11_replace_others,Q12_better_than_generic,Q13_best,Q14_worst,Q15_changes,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,n_clarifications_asked,n_reformulations,evaluator_notes
P0001,2026-05-26,10:05,10:38,openai,5,4,4,3,5,5,4,4,4,4,3,4,"Entendió bien una petición encadenada para crear el proyecto del TFG con todos sus objetivos y tareas, y pidió confirmación antes de borrar nada.","Las respuestas que requerían buscar información tardaban más de un minuto, lo que me sacaba del flujo de trabajo.",Reducir la latencia en las consultas largas y mostrar un indicador más concreto de en qué paso del flujo está el asistente.,1,1,1,1,1,1,4,2,Participante con experiencia previa en herramientas de gestión de tareas; aprovecha peticiones multi-acción en un único turno y se fija en los estados intermedios.
P0002,2026-05-26,11:20,11:58,openai,4,5,5,3,4,5,4,3,4,5,4,4,"Que explicara qué iba a hacer antes de hacerlo, como hago yo con mis alumnos, me dio confianza.",Creé un evento para una tutoría asociado a una tarea y el resumen final del asistente no lo incluyó; casi se me olvida apuntarlo.,Que las notas se puedan organizar en carpetas por asignatura y que avise cuando una tarea está cerca del plazo.,1,1,1,1,1,0,6,3,Perfil docente sin background técnico; valora la naturalidad del lenguaje por encima de la rapidez y compara la interacción con su propio aula.
P0003,2026-05-27,09:15,09:48,openai,5,5,4,3,5,5,5,4,4,5,4,5,Que me pidiera confirmación antes de borrar el proyecto de la rotación de cardiología me evitó un disgusto.,Una vez le pedí un resumen de la semana entre dos guardias y tardó casi dos minutos en contestar.,Añadiría un modo dictado; escribir tanto en el ordenador después de una guardia no es práctico.,1,1,1,1,1,1,5,1,Participante muy receptiva; comenta que sustituiría parcialmente la aplicación de notas que usa para apuntes clínicos.
P0004,2026-05-27,16:40,17:18,openai,4,3,4,3,4,5,4,3,3,3,2,3,"Me gustó poder pedirle en un único mensaje todo el plan de un trabajo de grupo, con sus fases y sus tareas, en lugar de teclearlo a mano una por una.",Pregunté por el porcentaje de avance del trabajo de marketing y los números que me dio no encajaban con los que veía en la pantalla principal.,Que se sincronice con Google Calendar y avise al equipo del trabajo cuando se acerca una entrega; sin eso no sustituye a la agenda compartida que ya usamos.,1,1,1,1,0,1,7,4,Estudiante meticulosa con los datos; detecta inconsistencias en los porcentajes de progreso y pide más detalle del cálculo subyacente.
P0005,2026-05-28,10:00,10:32,gemini,2,2,3,4,3,2,1,2,2,2,1,2,El tiempo de respuesta es notablemente más bajo que el de los asistentes que probamos en la asignatura de inteligencia artificial.,"Le pedí varias veces que planificara la semana y siempre devolvió consejos genéricos, sin llegar a generar un plan con fechas concretas.",El clasificador de intención no parece funcionar bien con este modelo; probaría con uno más reciente o reforzaría el prompt del supervisor con más ejemplos.,1,0,0,1,1,0,0,9,Detecta pronto que el modelo no ejecuta acciones; ensaya distintos verbos imperativos sin éxito y termina razonando sobre la causa probable del fallo.
P0006,2026-05-28,12:10,12:42,gemini,2,2,2,4,2,3,1,2,1,2,1,1,La interfaz se entiende a la primera y el tiempo de respuesta no es un cuello de botella.,Pedí borrar un proyecto y el asistente me explicó cómo se borran proyectos en lugar de borrarlo. Es un fallo claro de comprensión de la intención.,Necesita separar mejor las peticiones imperativas de las consultas; me harté tras tener que reformular la misma orden tres veces sin que la ejecutara.,1,0,0,0,1,0,0,11,Tono cordial pero crítico; abandona la tercera tarea por frustración y comenta que el modelo no parece adecuado para este caso de uso.
P0007,2026-05-29,17:05,17:34,gemini,1,2,3,5,2,3,1,2,2,2,1,1,"El tiempo de respuesta es excelente, muy por debajo de lo que tarda ChatGPT o Claude para tareas similares.",Da igual lo concreta que sea mi petición: siempre acaba como si fuese una consulta de información general.,"Cambiaría el modelo o añadiría más ejemplos al prompt del supervisor; la arquitectura del sistema parece sólida, el cuello de botella está en el modelo concreto.",1,0,0,0,1,0,1,12,Identifica con claridad el modo de fallo del clasificador y verbaliza la hipótesis correcta sin haber visto el código.
P0008,2026-05-30,09:30,10:05,groq,4,4,4,2,4,4,3,3,3,4,3,4,"Pillaba a la primera lo que le quería pedir, hasta cuando se lo decía de forma un poco enrevesada.","Me cansé un poco con la espera entre respuestas, sobre todo cuando le pedía cosas largas como un resumen.",Que fuese más rápido. Si tardara la mitad lo usaría todos los días para organizar trabajos y exámenes de segundo de Bachillerato.,1,1,1,1,1,0,3,4,Tono entusiasta y sin referencia previa con otros asistentes; la única queja recurrente es la espera entre cada respuesta.
P0009,2026-05-30,12:45,13:25,groq,3,4,3,2,3,4,3,3,2,3,2,3,"Pude crear, en un único mensaje, el expediente de un asunto con sus objetivos y sus tareas asociadas, y todo quedó correctamente vinculado.",Le pedí resumir un contrato y devolvió afirmaciones que no constaban en el documento original; en mi sector eso es un riesgo legal directo.,Que indique siempre el párrafo concreto de origen de cada afirmación citada del documento; sin esa trazabilidad no puedo incorporarlo a mi flujo de trabajo.,1,1,0,1,1,1,5,6,Especialmente crítica con la fidelidad de la lectura de documentos; insiste en la trazabilidad de cada afirmación y en el riesgo regulatorio.
P0010,2026-05-31,11:00,11:35,groq,3,3,4,2,3,4,3,2,2,3,2,3,"La conversación se siente natural; no parece un formulario, y las confirmaciones para borrar son claras.","Le pregunté por el progreso del proyecto de la asignatura de Bases de Datos y me mezcló los datos con los de Estructuras de Datos, que tiene un nombre parecido. No supo desambiguar.","Más rapidez y un atajo de teclado para deshacer la última acción ejecutada, algo del estilo de Ctrl+Z.",1,1,1,1,0,1,4,7,Sensible a la latencia y a la confusión entre proyectos con nombres parecidos; sugiere accesos rápidos de teclado para operaciones frecuentes.
